,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
297,914,1884,718,421,1166,284,2011,0.2234607218683652,0.15074309978768577,0.5863509749303621,0.36106346483704976,0.6157804459691252,1.482394366197183
268,914,1981,738,457,1243,204,2012,0.23069156991418477,0.10297829379101464,0.6192411924119241,0.3676588897827836,0.5937248592115849,2.2401960784313726
239,914,2135,682,335,1453,223,2013,0.15690866510538642,0.10444964871194379,0.4912023460410557,0.23055746730901583,0.46937370956641433,1.5022421524663676
210,914,2386,796,343,1590,228,2014,0.1437552388935457,0.09555741827326068,0.43090452261306533,0.21572327044025158,0.5006289308176101,1.5043859649122806
181,914,2479,858,383,1621,271,2015,0.15449778136345302,0.10931827349737798,0.44638694638694637,0.23627390499691547,0.5293028994447871,1.4132841328413284
152,914,2692,951,455,1741,295,2016,0.16901931649331353,0.10958395245170877,0.4784437434279706,0.26134405514072373,0.5462377943710511,1.5423728813559323
123,914,2826,1110,535,1716,329,2017,0.18931351733899504,0.11641896673743808,0.481981981981982,0.3117715617715618,0.6468531468531469,1.6261398176291793
94,914,2900,1242,584,1658,247,2018,0.2013793103448276,0.08517241379310345,0.47020933977455714,0.35223160434258144,0.7490952955367913,2.3643724696356276
67,914,2983,1323,684,1660,263,2019,0.22929936305732485,0.08816627556151525,0.5170068027210885,0.41204819277108434,0.7969879518072289,2.6007604562737643
38,914,3056,1433,664,1623,174,2020,0.21727748691099477,0.05693717277486911,0.4633635729239358,0.4091189155884165,0.8829328404189772,3.8160919540229883
9,914,2764,1302,491,1462,120,2021,0.1776410998552822,0.04341534008683068,0.3771121351766513,0.33584131326949385,0.8905608755129959,4.091666666666667
327,915,4778,1541,1022,3237,706,2010,0.2138970280452072,0.14776056927584763,0.6632057105775471,0.3157244362063639,0.476058078467717,1.4475920679886685
298,915,4809,1408,767,3401,624,2011,0.15949261800790185,0.12975670617592014,0.5447443181818182,0.22552190532196412,0.41399588356365774,1.2291666666666667
269,915,4954,1382,706,3572,590,2012,0.1425111021396851,0.11909568025837707,0.5108538350217077,0.19764837625979842,0.38689809630459127,1.1966101694915254
240,915,4753,1477,883,3276,503,2013,0.18577740374500315,0.1058278981695771,0.5978334461746784,0.2695360195360195,0.45085470085470086,1.7554671968190856
211,915,4602,1453,801,3149,526,2014,0.17405475880052151,0.11429813124728379,0.5512732278045424,0.25436646554461734,0.4614163226421086,1.5228136882129277
182,915,4801,1674,838,3127,450,2015,0.17454696938137887,0.09373047281816288,0.5005973715651135,0.26798848736808445,0.5353373840741925,1.8622222222222222
153,915,4873,1768,934,3105,381,2016,0.1916683767699569,0.07818592242971475,0.5282805429864253,0.300805152979066,0.5694041867954911,2.4514435695538057
124,915,5206,2261,1263,2945,466,2017,0.24260468689973108,0.0895121014214368,0.5586023883237505,0.42886247877758915,0.7677419354838709,2.7103004291845494
95,915,5048,2186,936,2862,482,2018,0.18541996830427893,0.09548335974643424,0.4281793229643184,0.3270440251572327,0.7638015373864431,1.941908713692946
68,915,5192,2527,1118,2665,225,2019,0.2153312788906009,0.043335901386748844,0.44242184408389396,0.4195121951219512,0.9482176360225141,4.9688888888888885
39,915,4752,2176,950,2576,170,2020,0.1999158249158249,0.03577441077441077,0.4365808823529412,0.3687888198757764,0.84472049689441,5.588235294117647
10,915,4194,1965,703,2229,103,2021,0.16762041010968048,0.024558893657606103,0.35776081424936385,0.3153880663974877,0.8815612382234186,6.825242718446602
328,916,3363,597,292,2766,699,2010,0.08682723758548914,0.20785013380909903,0.48911222780569513,0.10556760665220535,0.2158351409978308,0.4177396280400572
299,916,3517,685,340,2832,556,2011,0.09667330110889963,0.15808928063690644,0.49635036496350365,0.12005649717514125,0.24187853107344634,0.6115107913669064
270,916,3739,966,331,2773,606,2012,0.08852634394223054,0.1620754212356245,0.34265010351966874,0.11936530833032817,0.34835917778579156,0.5462046204620462
241,916,3296,965,412,2331,279,2013,0.125,0.08464805825242719,0.42694300518134715,0.17674817674817675,0.413985413985414,1.4767025089605734
212,916,3294,870,444,2424,199,2014,0.13479052823315119,0.060412871888281726,0.5103448275862069,0.18316831683168316,0.3589108910891089,2.2311557788944723
183,916,3323,822,336,2501,314,2015,0.10111345170027083,0.09449292807703882,0.40875912408759124,0.13434626149540185,0.3286685325869652,1.070063694267516
154,916,3340,704,131,2636,121,2016,0.03922155688622755,0.03622754491017964,0.18607954545454544,0.04969650986342944,0.26707132018209406,1.0826446280991735
125,916,2897,562,182,2335,167,2017,0.06282361063168795,0.057645840524680705,0.3238434163701068,0.07794432548179872,0.24068522483940044,1.089820359281437
96,916,3043,602,144,2441,89,2018,0.04732172198488334,0.02924745317121262,0.23920265780730898,0.058992216304793114,0.2466202376075379,1.6179775280898876
69,916,3031,582,153,2449,257,2019,0.050478389970306826,0.08479049818541735,0.26288659793814434,0.062474479379338504,0.23764801959983667,0.5953307392996109
40,916,2780,523,148,2257,124,2020,0.053237410071942444,0.04460431654676259,0.2829827915869981,0.06557377049180328,0.23172352680549402,1.1935483870967742
11,916,2579,498,136,2081,170,2021,0.05273361768127181,0.06591702210158977,0.27309236947791166,0.06535319557904853,0.23930802498798653,0.8
329,917,3248,1166,882,2082,312,2010,0.27155172413793105,0.0960591133004926,0.7564322469982847,0.42363112391930835,0.5600384245917387,2.826923076923077
300,917,3208,1151,811,2057,216,2011,0.2528054862842893,0.06733167082294264,0.7046046915725456,0.394263490520175,0.5595527467185221,3.7546296296296298
271,917,3314,1111,577,2203,231,2012,0.17410983705491853,0.06970428485214243,0.5193519351935193,0.26191556967771223,0.5043123014071721,2.497835497835498
242,917,3411,1043,380,2368,242,2013,0.11140428026971562,0.07094693638229259,0.36433365292425696,0.16047297297297297,0.4404560810810811,1.5702479338842976
213,917,3786,1271,364,2515,166,2014,0.09614368726888536,0.04384574749075541,0.2863886703383163,0.14473161033797216,0.5053677932405567,2.1927710843373496
184,917,3288,973,327,2315,203,2015,0.09945255474452555,0.061739659367396595,0.33607399794450155,0.14125269978401728,0.4203023758099352,1.6108374384236452
155,917,3298,897,259,2401,186,2016,0.07853244390539721,0.056397816858702245,0.2887402452619844,0.10787172011661808,0.37359433569346107,1.39247311827957
126,917,3224,1041,370,2183,149,2017,0.11476426799007444,0.04621588089330025,0.3554274735830932,0.1694915254237288,0.47686669720568026,2.4832214765100673
97,917,3188,1017,406,2171,143,2018,0.1273525721455458,0.044855708908406525,0.3992133726647001,0.18701059419622293,0.46844771994472595,2.839160839160839
70,917,3238,1001,526,2237,149,2019,0.1624459542927733,0.046016059295861646,0.5254745254745254,0.23513634331694233,0.44747429593205185,3.530201342281879
41,917,3502,1290,694,2212,88,2020,0.1981724728726442,0.025128498001142203,0.537984496124031,0.31374321880650996,0.5831826401446655,7.886363636363637
12,917,3447,1122,631,2325,240,2021,0.1830577313606034,0.06962576153176675,0.5623885918003565,0.2713978494623656,0.48258064516129034,2.629166666666667
330,918,2929,1158,606,1771,426,2010,0.20689655172413793,0.14544213041993856,0.5233160621761658,0.34217955957086393,0.6538678712591756,1.4225352112676057
301,918,3269,1149,693,2120,473,2011,0.21199143468950749,0.14469256653410828,0.6031331592689295,0.3268867924528302,0.5419811320754717,1.4651162790697674
272,918,3388,1309,779,2079,550,2012,0.22992916174734357,0.16233766233766234,0.5951107715813598,0.3746993746993747,0.6296296296296297,1.4163636363636363
243,918,3484,1139,637,2345,688,2013,0.1828358208955224,0.19747416762342135,0.559262510974539,0.2716417910447761,0.4857142857142857,0.9258720930232558
214,918,3761,937,700,2824,529,2014,0.18612071257644244,0.14065408136134006,0.7470651013874067,0.24787535410764872,0.33179886685552407,1.3232514177693762
185,918,3757,819,640,2938,405,2015,0.1703486824594091,0.10779877561884482,0.7814407814407814,0.21783526208304968,0.27876106194690264,1.5802469135802468
156,918,3770,837,580,2933,386,2016,0.15384615384615385,0.10238726790450928,0.6929510155316607,0.19774974428912376,0.28537333787930447,1.5025906735751295
127,918,3576,673,541,2903,133,2017,0.15128635346756153,0.0371923937360179,0.8038632986627043,0.1863589390285911,0.23182914226662074,4.067669172932331
98,918,3473,687,577,2786,98,2018,0.16613878491217968,0.028217679239850274,0.8398835516739447,0.20710696338837042,0.24659009332376167,5.887755102040816
71,918,3526,671,403,2855,118,2019,0.11429381735677822,0.033465683494044246,0.6005961251862891,0.14115586690017512,0.23502626970227672,3.4152542372881354
42,918,3529,915,391,2614,87,2020,0.11079625956361576,0.02465287616888637,0.4273224043715847,0.14957918898240244,0.3500382555470543,4.494252873563219
13,918,3275,825,408,2450,43,2021,0.12458015267175572,0.013129770992366412,0.49454545454545457,0.16653061224489796,0.336734693877551,9.488372093023257
331,919,3577,1475,416,2102,276,2010,0.11629857422421024,0.07715963097567795,0.28203389830508474,0.19790675547098002,0.7017126546146527,1.5072463768115942
302,919,3851,1682,609,2169,298,2011,0.15814074266424305,0.07738249805245391,0.3620689655172414,0.28077455048409405,0.7754725680036884,2.0436241610738257
273,919,4072,1861,845,2211,415,2012,0.2075147347740668,0.1019155206286837,0.4540569586243955,0.38218000904568067,0.8417005879692447,2.036144578313253
