year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
2019,18602,45820,-0.030842972,-0.047698223,804.01,2998,289,39,2709,335,0.096397598,0.903602402,0.134948097,0.014396456,0.106681432,0.11641791
2018,19194,48115,-0.011230167,0.016306529,804.01,,,,,,,,,,,
2017,19412,47343,-0.374653695,-0.03654938,804.01,3050,431,88,2619,283,0.141311475,0.858688525,0.204176334,0.033600611,0.164566628,0.310954064
2016,31042,49139,0.30133311,0.065783195,804.01,3087,467,69,2620,315,0.151279559,0.848720441,0.147751606,0.026335878,0.178244275,0.219047619
2015,23854,46106,0.25323106,0.259348283,804.01,2955,387,58,2568,386,0.130964467,0.869035533,0.149870801,0.02258567,0.150700935,0.150259067
2014,19034,36611,0.045651816,0.1396775,804.01,2796,263,11,2533,383,0.094062947,0.905937053,0.041825095,0.004342677,0.103829451,0.028720627
2013,18203,32124,0.116748466,0.089577044,804.01,2496,202,14,2294,436,0.080929487,0.919070513,0.069306931,0.006102877,0.088055798,0.032110092
2012,16300,29483,0.212256433,0.154475683,804.01,2465,279,8,2186,657,0.113184584,0.886815416,0.028673835,0.003659652,0.127630375,0.01217656
2011,13446,25538,-0.107941352,0.006423645,804.01,2332,230,20,2102,727,0.098627787,0.901372213,0.086956522,0.009514748,0.1094196,0.027510316
2010,15073,25375,,,804.01,2415,286,11,2129,677,0.118426501,0.881573499,0.038461538,0.005166745,0.134335369,0.016248154
2021,39625,48267,0.258735705,0.184408127,805,3583,89,0,3494,309,0.02483952,0.97516048,0,0,0.025472238,0
2020,31480,40752,0.047691949,0.021506994,805,3448,62,0,3386,366,0.017981439,0.982018561,0,0,0.018310691,0
2019,30047,39894,0.335422222,0.194788859,805,3593,114,31,3479,459,0.031728361,0.968271639,0.271929825,0.008910606,0.032768037,0.067538126
2018,22500,33390,-0.049228819,-0.037918516,805,3205,139,41,3066,491,0.043369735,0.956630265,0.294964029,0.013372472,0.045335943,0.083503055
2017,23665,34706,0.020306976,-0.052861392,805,3116,187,43,2929,552,0.060012837,0.939987163,0.229946524,0.014680778,0.063844315,0.077898551
2016,23194,36643,0.020817746,0.143771264,805,3189,147,54,3042,557,0.046095955,0.953904045,0.367346939,0.017751479,0.048323471,0.096947935
2015,22721,32037,0.176583294,0.11545559,805,3280,148,78,3132,666,0.045121951,0.954878049,0.527027027,0.024904215,0.047254151,0.117117117
2014,19311,28721,0.071583153,0.07400344,805,3068,103,34,2965,557,0.03357236,0.96642764,0.330097087,0.011467116,0.034738617,0.061041293
2013,18021,26742,-0.091729248,-0.119836751,805,3163,82,30,3081,471,0.025924755,0.974075245,0.365853659,0.009737098,0.026614735,0.063694268
2012,19841,30383,0.229610808,0.24199812,805,2623,46,25,2577,464,0.017537171,0.982462829,0.543478261,0.009701203,0.017850213,0.05387931
2011,16136,24463,0.042309928,-0.02847498,805,3061,134,134,2927,511,0.043776544,0.956223456,1,0.045780663,0.045780663,0.26223092
2010,15481,25180,,,805,2744,166,166,2578,613,0.060495627,0.939504373,1,0.064391001,0.064391001,0.270799347
2021,14590,38663,0.023500526,0.112476262,806.01,1807,355,28,1452,210,0.196458218,0.803541782,0.078873239,0.019283747,0.244490358,0.133333333
2020,14255,34754,-0.189780607,0.056127876,806.01,1898,324,28,1574,382,0.170706006,0.829293994,0.086419753,0.017789072,0.205844981,0.073298429
2019,17594,32907,0.120422849,0.109062721,806.01,1865,312,21,1553,403,0.167292225,0.832707775,0.067307692,0.013522215,0.200901481,0.052109181
2018,15703,29671,-0.024294768,-0.023916047,806.01,1926,209,12,1717,444,0.108515057,0.891484943,0.057416268,0.006988934,0.121723937,0.027027027
2017,16094,30398,-0.0096,0.074589932,806.01,2022,193,14,1829,408,0.095450049,0.904549951,0.07253886,0.007654456,0.105522143,0.034313725
2016,16250,28288,-0.038006157,-0.021548891,806.01,2048,147,7,1901,312,0.071777344,0.928222656,0.047619048,0.003682272,0.077327722,0.022435897
2015,16892,28911,0.003564639,0.031688256,806.01,2132,138,21,1994,286,0.064727955,0.935272045,0.152173913,0.010531595,0.069207623,0.073426573
2014,16832,28023,-0.281052452,-0.150148602,806.01,2079,71,15,2008,270,0.034151034,0.965848966,0.211267606,0.00747012,0.035358566,0.055555556
2013,23412,32974,0.05416723,-0.011629998,806.01,2133,224,11,1909,238,0.105016409,0.894983591,0.049107143,0.005762179,0.117338921,0.046218487
2012,22209,33362,0.036737933,0.005909667,806.01,2222,220,12,2002,291,0.099009901,0.900990099,0.054545455,0.005994006,0.10989011,0.041237113
2011,21422,33166,0.133619093,-0.010944443,806.01,2286,203,7,2083,439,0.0888014,0.9111986,0.034482759,0.003360538,0.097455593,0.01594533
2010,18897,33533,,,806.01,2349,167,10,2182,501,0.071094083,0.928905917,0.05988024,0.004582951,0.076535289,0.01996008
2021,25308,40952,,0.844186256,813.02,2687,151,0,2536,310,0.056196502,0.943803498,0,0,0.059542587,0
2020,,22206,,-0.448366663,813.02,2210,114,0,2096,158,0.05158371,0.94841629,0,0,0.054389313,0
2019,16226,40255,-0.098705771,0.163775658,813.02,4739,576,388,4163,790,0.12154463,0.87845537,0.673611111,0.093202018,0.138361758,0.491139241
2018,18003,34590,0.017693612,-0.076220489,813.02,5179,454,153,4725,593,0.087661711,0.912338289,0.337004405,0.032380952,0.096084656,0.258010118
2017,17690,37444,-0.032010944,-0.057016218,813.02,5425,630,171,4795,819,0.116129032,0.883870968,0.271428571,0.035662148,0.131386861,0.208791209
2016,18275,39708,-0.126183418,0.014252874,813.02,5149,745,181,4404,900,0.144688289,0.855311711,0.24295302,0.041099001,0.169164396,0.201111111
2015,20914,39150,-0.033280947,0.035549913,813.02,5289,450,71,4839,848,0.085082246,0.914917754,0.157777778,0.014672453,0.09299442,0.083726415
2014,21634,37806,-0.000231064,0.044826443,813.02,5402,429,105,4973,702,0.079415031,0.920584969,0.244755245,0.021114016,0.086265836,0.14957265
2013,21639,36184,0.048553569,0.040667242,813.02,5197,353,94,4844,739,0.067923802,0.932076198,0.266288952,0.01940545,0.072873658,0.127198917
2012,20637,34770,0.01141933,0.078340156,813.02,4934,301,152,4633,752,0.06100527,0.93899473,0.504983389,0.032808116,0.064968703,0.20212766
2011,20404,32244,,,813.02,4920,449,106,4471,811,0.091260163,0.908739837,0.236080178,0.023708343,0.100424961,0.130702836
2010,16835,29407,,,813.02,4789,562,146,4227,1213,0.117352266,0.882647734,0.259786477,0.034539863,0.132954814,0.120362737
2021,59464,105162,0.199935427,0.153408281,814,3241,1257,660,1984,108,0.387843258,0.612156742,0.525059666,0.33266129,0.633568548,6.111111111
2020,49556,91175,-0.113631079,0.162768454,814,2978,1267,585,1711,45,0.425453324,0.574546676,0.4617206,0.341905319,0.74050263,13
2019,55909,78412,0.174830318,0.092104347,814,2905,1231,496,1674,145,0.423752151,0.576247849,0.402924452,0.296296296,0.735364397,3.420689655
2018,47589,71799,0.250926583,0.216684742,814,2921,1045,358,1876,233,0.357754194,0.642245806,0.342583732,0.190831557,0.557036247,1.536480687
2017,38043,59012,0.11540153,0.103172378,814,2900,832,278,2068,230,0.286896552,0.713103448,0.334134615,0.1344294,0.402321083,1.208695652
2016,34107,53493,-0.199084185,-0.088767375,814,2734,727,238,2007,241,0.265910753,0.734089247,0.327372765,0.118584953,0.362232187,0.987551867
2015,42585,58704,-0.025247207,-0.104439359,814,2842,695,269,2147,331,0.244546094,0.755453906,0.38705036,0.125291104,0.323707499,0.812688822
2014,43688,65550,-0.00648125,-0.024059792,814,2898,855,380,2043,333,0.295031056,0.704968944,0.444444444,0.186000979,0.418502203,1.141141141
2013,43973,67166,-0.043607812,-0.107131938,814,2916,800,503,2116,309,0.274348422,0.725651578,0.62875,0.237712665,0.378071834,1.627831715
2012,45978,75225,-0.020055841,-0.036589739,814,2680,821,492,1859,304,0.306343284,0.693656716,0.599269184,0.264658419,0.441635288,1.618421053
2011,46919,78082,,,814,2750,1083,599,1667,333,0.393818182,0.606181818,0.553093259,0.359328134,0.649670066,1.798798799
2010,,,,,814,2943,1327,742,1616,302,0.450900442,0.549099558,0.559155991,0.459158416,0.821163366,2.456953642
2021,63144,70123,0.311265704,0.079679128,815,2827,1011,555,1816,301,0.357622922,0.642377078,0.548961424,0.30561674,0.556718062,1.843853821
2020,48155,64948,0.320617595,0.130946577,815,2908,1256,628,1652,256,0.431911967,0.568088033,0.5,0.380145278,0.760290557,2.453125
2019,36464,57428,0.066385916,0.009705324,815,2754,1019,440,1735,294,0.370007262,0.629992738,0.431795878,0.253602305,0.587319885,1.496598639
2018,34194,56876,0.069565217,0.018170101,815,2566,829,319,1737,305,0.323070928,0.676929072,0.384800965,0.183649971,0.477259643,1.045901639
2017,31970,55861,-0.058792357,0.054458623,815,2408,840,367,1568,165,0.348837209,0.651162791,0.436904762,0.234056122,0.535714286,2.224242424
2016,33967,52976,-0.004104729,-0.024257271,815,2197,657,169,1540,196,0.299044151,0.700955849,0.257229833,0.10974026,0.426623377,0.862244898
2015,34107,54293,0.04867175,0.02989548,815,2139,599,212,1540,201,0.280037401,0.719962599,0.353923205,0.137662338,0.388961039,1.054726368
2014,32524,52717,0.047741769,0.140566854,815,2144,501,119,1643,294,0.233675373,0.766324627,0.23752495,0.072428484,0.304930006,0.404761905
2013,31042,46220,-0.023406531,0.091948592,815,2068,659,174,1409,260,0.318665377,0.681334623,0.264036419,0.123491838,0.467707594,0.669230769
2012,31786,42328,0.159353686,0.028701971,815,2000,644,165,1356,246,0.322,0.678,0.25621118,0.121681416,0.474926254,0.670731707
2011,27417,41147,-0.395528805,-0.151538271,815,1949,588,192,1361,385,0.301693176,0.698306824,0.326530612,0.141072741,0.432035268,0.498701299
2010,45357,48496,,,815,1994,588,234,1406,357,0.294884654,0.705115346,0.397959184,0.166429587,0.418207681,0.655462185
2021,30349,50354,0.045363737,0.170968792,817,4341,1133,316,3208,633,0.26099977,0.73900023,0.27890556,0.098503741,0.353179551,0.499210111
2020,29032,43002,-0.097908834,-0.175906939,817,4189,1147,373,3042,909,0.273812366,0.726187634,0.325196164,0.1226167,0.377054569,0.410341034
2019,32183,52181,-0.127713782,-0.135804309,817,3941,901,286,3040,863,0.228622177,0.771377823,0.317425083,0.094078947,0.296381579,0.331402086
2018,36895,60381,0.018411174,0.168091774,817,4101,1120,449,2981,727,0.273104121,0.726895879,0.400892857,0.150620597,0.375712848,0.617606602
2017,36228,51692,0.185354841,0.10013408,817,3833,1065,563,2768,688,0.277850248,0.722149752,0.528638498,0.203395954,0.384754335,0.818313953
2016,30563,46987,-0.008306564,0.023659615,817,3356,751,519,2605,676,0.223778308,0.776221692,0.691078562,0.199232246,0.288291747,0.767751479
2015,30819,45901,0.109115774,0.007064657,817,3291,837,544,2454,655,0.254329991,0.745670009,0.649940263,0.221678892,0.341075795,0.830534351
2014,27787,45579,0.284354056,0.144194804,817,3392,793,543,2599,623,0.233785377,0.766214623,0.684741488,0.20892651,0.305117353,0.871589085
2013,21635,39835,-0.057298475,-0.022741769,817,3232,551,340,2681,820,0.170482673,0.829517327,0.617059891,0.126818351,0.205520328,0.414634146
2012,22950,40762,-0.355137823,-0.166847215,817,3410,821,432,2589,804,0.240762463,0.759237537,0.526187576,0.166859791,0.317110854,0.537313433
2011,35589,48925,-0.005365976,-0.025243067,817,3667,889,516,2778,778,0.242432506,0.757567494,0.580427447,0.18574514,0.320014399,0.663239075
2010,35781,50192,,,817,3446,1066,599,2380,582,0.309344167,0.690655833,0.561913696,0.251680672,0.44789916,1.029209622
2021,33646,49022,0.076672,-0.021868391,818,3117,1625,545,1492,47,0.521334617,0.478665383,0.335384615,0.365281501,1.089142091,11.59574468
2020,31250,50118,0.015698638,0.100406192,818,3122,1584,613,1538,90,0.507367072,0.492632928,0.386994949,0.398569571,1.029908973,6.811111111
2019,30767,45545,0.002084487,-0.041642118,818,3289,1339,446,1950,156,0.407114625,0.592885375,0.333084391,0.228717949,0.686666667,2.858974359
2018,30703,47524,0.029300345,0.02734603,818,3478,1175,430,2303,117,0.337837838,0.662162162,0.365957447,0.186712983,0.510204082,3.675213675
2017,29829,46259,-0.149783377,0.028480591,818,3525,910,372,2615,223,0.258156028,0.741843972,0.408791209,0.142256214,0.347992352,1.668161435
2016,35084,44978,0.34876211,0.249770763,818,3728,1236,558,2492,229,0.331545064,0.668454936,0.451456311,0.223916533,0.495987159,2.436681223
2015,26012,35989,0.006189076,-0.003737128,818,3583,1125,550,2458,366,0.313982696,0.686017304,0.488888889,0.223759154,0.457689178,1.50273224
2014,25852,36124,-0.048229144,-0.116254037,818,3191,932,647,2259,210,0.292071451,0.707928549,0.694206009,0.286409916,0.412571934,3.080952381
2013,27162,40876,-0.334411527,-0.101349866,818,3224,1084,595,2140,282,0.336228288,0.663771712,0.548892989,0.278037383,0.506542056,2.109929078
2012,40809,45486,-0.015962962,-0.010743802,818,3137,1166,683,1971,254,0.3716927,0.6283073,0.585763293,0.346524607,0.591577879,2.688976378
2011,41471,45980,-0.078422222,-0.076076036,818,2793,1144,685,1649,228,0.409595417,0.590404583,0.598776224,0.415403275,0.69375379,3.004385965
2010,45000,49766,,,818,2793,1329,800,1464,308,0.475832438,0.524167562,0.601956358,0.546448087,0.907786885,2.597402597
2021,60183,105860,0.216973692,0.090732994,819,3299,811,585,2488,93,0.24583207,0.75416793,0.721331689,0.235128617,0.32596463,6.290322581
2020,49453,97054,0.782411245,0.901230215,819,3355,842,632,2513,331,0.250968703,0.749031297,0.750593824,0.25149224,0.3350577,1.909365559
2019,27745,51048,0.263203424,0.310199682,819,3673,541,242,3132,422,0.147291043,0.852708957,0.447319778,0.077266922,0.172733078,0.573459716
2018,21964,38962,-0.0752,0.008881639,819,3462,636,235,2826,491,0.183708839,0.816291161,0.369496855,0.083156405,0.225053079,0.478615071
2017,23750,38619,0.139198005,0.021612613,819,3517,660,265,2857,516,0.187659937,0.812340063,0.401515152,0.092754638,0.231011551,0.513565891
2016,20848,37802,-0.034546633,-0.005681519,819,3321,634,282,2687,492,0.190906354,0.809093646,0.444794953,0.104949758,0.235950875,0.573170732
2015,21594,38018,-0.303082137,-0.168114483,819,3489,822,133,2667,339,0.235597592,0.764402408,0.161800487,0.049868766,0.308211474,0.392330383
2014,30985,45701,-0.013562128,0.078209786,819,3122,559,323,2563,397,0.17905189,0.82094811,0.577817531,0.12602419,0.218103785,0.813602015
2013,31411,42386,-0.113484985,-0.026928993,819,3197,735,514,2462,351,0.229903034,0.770096966,0.699319728,0.208773355,0.298537774,1.464387464
2012,35432,43559,-0.042481894,-0.080781649,819,2873,741,489,2132,405,0.257918552,0.742081448,0.659919028,0.229362101,0.347560976,1.207407407
2011,37004,47387,-0.156180877,-0.0986095,819,2507,796,632,1711,461,0.317510969,0.682489031,0.793969849,0.369374635,0.465225015,1.370932755
2010,43853,52571,,,819,2357,777,682,1580,535,0.329656343,0.670343657,0.877734878,0.43164557,0.491772152,1.274766355
2021,69041,91104,0.056173416,0.045142195,820,3605,1569,859,2036,142,0.435228849,0.564771151,0.547482473,0.421905697,0.770628684,6.049295775
2020,65369,87169,0.517491933,0.386055017,820,3708,1848,975,1860,284,0.498381877,0.501618123,0.527597403,0.524193548,0.993548387,3.433098592
2019,43077,62890,0.062685021,-0.017804154,820,3421,1369,556,2052,265,0.400175387,0.599824613,0.406135866,0.270955166,0.667153996,2.098113208
2018,40536,64030,0.123908282,0.115952385,820,3409,1598,694,1811,182,0.468759167,0.531240833,0.434292866,0.383213694,0.882385422,3.813186813
2017,36067,57377,-0.016846122,0.097116525,820,2907,1307,695,1600,253,0.449604403,0.550395597,0.531752104,0.434375,0.816875,2.747035573
2016,36685,52298,0.377323071,0.11857809,820,2825,1186,567,1639,559,0.419823009,0.580176991,0.478077572,0.345942648,0.723611959,1.01431127
2015,26635,46754,0.013662658,-0.02073559,820,2715,905,560,1810,570,0.333333333,0.666666667,0.61878453,0.309392265,0.5,0.98245614
2014,26276,47744,-0.284247228,-0.105364739,820,2709,912,661,1797,632,0.336655592,0.663344408,0.724780702,0.367835281,0.507512521,1.045886076
2013,36711,53367,-0.153636888,-0.102638261,820,2827,911,678,1916,721,0.322249735,0.677750265,0.744237102,0.353862213,0.475469729,0.94036061
2012,43375,59471,0.308525401,0.051579022,820,2855,871,748,1984,727,0.305078809,0.694921191,0.858783008,0.377016129,0.439012097,1.028885832
2011,33148,56554,-0.194889731,0.064265417,820,2692,1058,816,1634,428,0.393016345,0.606983655,0.771266541,0.499388005,0.64749082,1.906542056
2010,41172,53139,,,820,2542,954,667,1588,399,0.375295043,0.624704957,0.699161426,0.420025189,0.600755668,1.671679198
2021,26547,57732,0.080332072,0.088831051,821,5749,1329,545,4420,674,0.231170638,0.768829362,0.410082769,0.123303167,0.300678733,0.808605341
2020,24573,53022,-0.021970149,-0.045714697,821,5403,1213,487,4190,555,0.224504905,0.775495095,0.401483924,0.116229117,0.289498807,0.877477477
2019,25125,55562,0.232463455,0.117205879,821,5981,1039,619,4942,729,0.17371677,0.82628323,0.595765159,0.125252934,0.21023877,0.849108368
2018,20386,49733,0.065711747,0.068240399,821,5732,788,453,4944,812,0.137473831,0.862526169,0.574873096,0.091626214,0.159385113,0.557881773
2017,19129,46556,0.060072042,0.233630992,821,5377,475,142,4902,1100,0.088339223,0.911660777,0.298947368,0.028967768,0.096899225,0.129090909
2016,18045,37739,0.041798972,-0.016111792,821,5227,393,340,4834,1002,0.075186531,0.924813469,0.865139949,0.070335126,0.081299131,0.339321357
2015,17321,38357,0.043496596,0.26553169,821,5225,598,275,4627,750,0.114449761,0.885550239,0.459866221,0.059433758,0.129241409,0.366666667
2014,16599,30309,-0.185844614,-0.1411448,821,4998,552,293,4446,984,0.110444178,0.889555822,0.530797101,0.065901934,0.124156545,0.297764228
2013,20388,35290,0.013068323,-0.152640046,821,4911,744,364,4167,714,0.15149664,0.84850336,0.489247312,0.087353012,0.178545716,0.509803922
2012,20125,41647,-0.067639565,-0.110353962,821,4993,763,446,4230,658,0.15281394,0.84718606,0.584534731,0.105437352,0.180378251,0.67781155
2011,21585,46813,0.042753623,0.105905977,821,5109,853,440,4256,662,0.166960266,0.833039734,0.515826495,0.103383459,0.200422932,0.664652568
2010,20700,42330,,,821,4822,719,467,4103,701,0.149108254,0.850891746,0.649513213,0.113819157,0.175237631,0.666191155
2021,54670,77029,0.140027109,0.207029475,904,3881,1568,546,2313,220,0.404019583,0.595980417,0.348214286,0.236057069,0.677907479,2.481818182
2020,47955,63817,0.237548387,-0.002142165,904,4390,1883,676,2507,270,0.428929385,0.571070615,0.359001593,0.269644994,0.751096929,2.503703704
2019,38750,63954,0.039347692,0.214746999,904,4370,2265,850,2105,208,0.518306636,0.481693364,0.375275938,0.403800475,1.076009501,4.086538462
2018,37283,52648,-0.037858065,0.009510661,904,4292,2091,891,2201,308,0.487185461,0.512814539,0.426111908,0.404815993,0.950022717,2.892857143
2017,38750,52152,0.248751249,0.281124103,904,4284,2008,694,2276,206,0.468720822,0.531279178,0.34561753,0.304920914,0.882249561,3.368932039
2016,31031,40708,-0.034805599,-0.022875111,904,4173,1508,653,2665,282,0.361370717,0.638629283,0.433023873,0.245028143,0.565853659,2.315602837
2015,32150,41661,-0.084697509,0.035081617,904,3946,1450,449,2496,471,0.36746072,0.63253928,0.309655172,0.179887821,0.580929487,0.95329087
2014,35125,40249,0.100614151,-0.034425679,904,3394,1159,543,2235,565,0.341484973,0.658515027,0.468507334,0.24295302,0.518568233,0.961061947
2013,31914,41684,-0.028522724,-0.029905281,904,3547,1150,503,2397,582,0.324217649,0.675782351,0.437391304,0.20984564,0.479766375,0.864261168
2012,32851,42969,-0.063887385,0.012226148,904,3639,1258,654,2381,797,0.345699368,0.654300632,0.519872814,0.274674507,0.528349433,0.820577164
2011,35093,42450,0.012522,-0.088742916,904,3533,1055,543,2478,939,0.298613077,0.701386923,0.514691943,0.219128329,0.42574657,0.57827476
2010,34659,46584,,,904,3529,1220,623,2309,737,0.345706999,0.654293001,0.510655738,0.269813772,0.528367259,0.84531886
2021,45526,73053,0.0192312,0.099715486,906,2322,861,303,1461,140,0.370801034,0.629198966,0.351916376,0.207392197,0.589322382,2.164285714
2020,44667,66429,-0.108745535,0.034316855,906,2434,867,434,1567,157,0.35620378,0.64379622,0.500576701,0.276962348,0.553286535,2.76433121
2019,50117,64225,0.139022727,0.108263878,906,2554,941,561,1613,142,0.36844166,0.63155834,0.596174283,0.347799132,0.583384997,3.950704225
2018,44000,57951,0.106918239,0.093002641,906,2416,781,485,1635,163,0.323261589,0.676738411,0.62099872,0.296636086,0.477675841,2.975460123
2017,39750,53020,-0.029304029,-0.028848796,906,2267,738,480,1529,162,0.325540362,0.674459638,0.650406504,0.313930674,0.482668411,2.962962963
2016,40950,54595,0.036997645,-0.026358497,906,2444,678,472,1766,227,0.277414075,0.722585925,0.696165192,0.267270668,0.38391846,2.079295154
2015,39489,56073,-0.018906832,-0.022028045,906,2258,788,467,1470,177,0.348981399,0.651018601,0.592639594,0.317687075,0.536054422,2.638418079
2014,40250,57336,-0.205173776,-0.135347077,906,2038,739,428,1299,326,0.362610402,0.637389598,0.579161028,0.329484219,0.568899153,1.312883436
2013,50640,66311,0.06052356,0.196366392,906,1999,700,420,1299,282,0.350175088,0.649824912,0.6,0.323325635,0.538876059,1.489361702
2012,47750,55427,-0.048179082,0.008387003,906,2127,600,359,1527,396,0.282087447,0.717912553,0.598333333,0.235101506,0.392927308,0.906565657
2011,50167,54966,0.13651707,0.148882804,906,1802,598,362,1204,495,0.331853496,0.668146504,0.605351171,0.300664452,0.496677741,0.731313131
2010,44141,47843,,,906,1805,474,430,1331,560,0.262603878,0.737396122,0.907172996,0.323065364,0.356123216,0.767857143
2021,106959,126998,-0.022419844,-0.015687247,1101.05,2539,955,188,1584,20,0.376132336,0.623867664,0.196858639,0.118686869,0.60290404,9.4
2020,109412,129022,0.254523356,0.245626569,1101.05,2934,1167,267,1767,106,0.397750511,0.602249489,0.228791774,0.151103565,0.660441426,2.518867925
2019,87214,103580,0.049759268,0.112591033,1101.05,5742,2093,566,3649,395,0.36450714,0.63549286,0.270425227,0.155110989,0.573581803,1.432911392
2018,83080,93098,0.007983305,0.015134664,1101.05,5859,2228,738,3631,281,0.380269671,0.619730329,0.331238779,0.203249793,0.613605067,2.62633452
2017,82422,91710,0.22968356,0.067935162,1101.05,5888,2569,918,3319,258,0.436311141,0.563688859,0.357337485,0.276589334,0.774028322,3.558139535
2016,67027,85876,0.045402084,0.120029215,1101.05,5849,2634,1123,3215,173,0.45033339,0.54966661,0.42634776,0.349300156,0.819284603,6.49132948
2015,64116,76673,-0.063028833,-0.019401458,1101.05,6218,3236,1679,2982,275,0.520424574,0.479575426,0.518850433,0.563044936,1.085177733,6.105454545
2014,68429,78190,0.045435796,0.03933219,1101.05,6548,2911,1641,3637,260,0.444563225,0.555436775,0.563723806,0.451196041,0.800384933,6.311538462
2013,65455,75231,-0.01918034,-0.051562638,1101.05,6538,3248,1618,3290,341,0.496788009,0.503211991,0.498152709,0.491793313,0.987234043,4.744868035
2012,66735,79321,0.132349198,0.15136516,1101.05,6293,3135,1374,3158,288,0.498172573,0.501827427,0.438277512,0.435085497,0.992716909,4.770833333
2011,58935,68893,0.043337405,0.072481592,1101.05,6657,3327,1728,3330,344,0.499774673,0.500225327,0.519386835,0.518918919,0.999099099,5.023255814
2010,56487,64237,,,1101.05,6803,3303,1638,3500,152,0.485521094,0.514478906,0.495912807,0.468,0.943714286,10.77631579
2021,112056,155364,0.047947704,0.119022753,1201.04,2435,1276,273,1159,83,0.524024641,0.475975359,0.213949843,0.235547886,1.100949094,3.289156627
2020,106929,138839,0.058944116,0.1453662,1201.04,2424,1431,280,993,67,0.590346535,0.409653465,0.195667365,0.281973817,1.441087613,4.179104478
2019,100977,121218,0.124465479,0.089208375,1201.04,2330,1130,230,1200,83,0.484978541,0.515021459,0.203539823,0.191666667,0.941666667,2.771084337
2018,89800,111290,0.034276237,0.079207153,1201.04,2205,976,210,1229,94,0.442630385,0.557369615,0.215163934,0.170870627,0.794141579,2.234042553
2017,86824,103122,0.017615827,0.054568139,1201.04,2298,1018,238,1280,111,0.442993908,0.557006092,0.233791749,0.1859375,0.7953125,2.144144144
2016,85321,97786,0.041528827,0.076239008,1201.04,2286,908,276,1378,78,0.39720035,0.60279965,0.303964758,0.200290276,0.65892598,3.538461538
2015,81919,90859,0.146088952,0.093277341,1201.04,2264,918,358,1346,86,0.405477032,0.594522968,0.389978214,0.265973254,0.682020802,4.162790698
2014,71477,83107,0.065500947,-0.030019024,1201.04,2162,850,374,1312,69,0.393154487,0.606845513,0.44,0.285060976,0.647865854,5.420289855
2013,67083,85679,0.014318979,0.006401673,1201.04,2142,919,308,1223,157,0.429038282,0.570961718,0.335146899,0.251839738,0.751430908,1.961783439
2012,66136,85134,0.009309282,0.038206851,1201.04,1966,993,297,973,177,0.50508647,0.49491353,0.299093656,0.305241521,1.020554985,1.677966102
2011,65526,82001,0.038035644,0.019938307,1201.04,1839,925,277,914,169,0.502990756,0.497009244,0.299459459,0.303063457,1.012035011,1.639053254
2010,63125,80398,,,1201.04,1945,1058,418,887,226,0.543958869,0.456041131,0.395085066,0.471251409,1.192784667,1.849557522
2021,91200,128784,-0.004866552,0.037894296,1202.01,4248,1571,271,2677,48,0.369821092,0.630178908,0.172501591,0.101232723,0.586850953,5.645833333
2020,91646,124082,0.086870412,0.098790358,1202.01,4199,1422,264,2777,122,0.33865206,0.66134794,0.185654008,0.095066619,0.512063378,2.163934426
2019,84321,112926,0.17532024,0.118455718,1202.01,3984,1437,337,2547,217,0.360692771,0.639307229,0.234516354,0.132312525,0.564193168,1.552995392
2018,71743,100966,0.140280051,0.125784691,1202.01,3912,1366,407,2546,327,0.349182004,0.650817996,0.29795022,0.159858602,0.536527887,1.244648318
2017,62917,89685,0.249195886,0.299274197,1202.01,3770,1219,302,2551,318,0.323342175,0.676657825,0.247744053,0.118384947,0.477851823,0.949685535
2016,50366,69027,-0.006685731,0.031315833,1202.01,3632,1165,288,2467,521,0.320759912,0.679240088,0.2472103,0.116740981,0.472233482,0.552783109
2015,50705,66931,-0.069854897,-0.051162461,1202.01,3673,1235,309,2438,558,0.336237408,0.663762592,0.250202429,0.126743232,0.506562756,0.553763441
2014,54513,70540,-0.175057884,-0.082311005,1202.01,4067,1215,293,2852,651,0.298746004,0.701253996,0.241152263,0.102734923,0.42601683,0.450076805
2013,66081,76867,0.11685568,0.115777097,1202.01,3802,1261,345,2541,589,0.331667543,0.668332457,0.273592387,0.135773318,0.496261314,0.58573854
2012,59167,68891,-0.08461229,-0.051832583,1202.01,3832,1121,305,2711,633,0.292536534,0.707463466,0.272078501,0.112504611,0.413500553,0.481832543
2011,64636,72657,0.067305152,0.022358868,1202.01,3635,1188,309,2447,551,0.326822558,0.673177442,0.26010101,0.126277074,0.48549244,0.560798548
2010,60560,71068,,,1202.01,3920,1072,346,2848,475,0.273469388,0.726530612,0.322761194,0.121488764,0.376404494,0.728421053
2010,,,,,708,3436,959,378,2477,355,0.279103609,0.720896391,0.394160584,0.152603956,0.387161889,1.064788732
2011,,,,,708,3531,996,273,2535,305,0.282073067,0.717926933,0.274096386,0.107692308,0.392899408,0.895081967
2012,,,,,708,3737,955,251,2782,470,0.255552582,0.744447418,0.262827225,0.090222861,0.343278217,0.534042553
2013,,,,,708,3947,1127,257,2820,497,0.285533316,0.714466684,0.228039042,0.091134752,0.39964539,0.517102616
