tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
915.0,2014,4616,2212,2404,32.0,461,1542,22,421,0,1858,724,282300.0,2389.0,1170.0
916.0,2014,3353,1799,1554,31.2,505,1688,0,610,0,460,586,340200.0,2159.0,1219.0
917.0,2014,3797,1688,2109,30.0,339,2093,5,145,0,1144,918,333800.0,2305.0,1351.0
918.0,2014,3814,1771,2043,30.7,632,2040,0,3,0,956,890,304900.0,1984.0,1101.0
919.0,2014,3893,1952,1941,34.5,315,3032,17,9,0,462,616,292000.0,1986.0,1233.0
920.0,2014,5502,2646,2856,31.0,640,3518,13,438,0,725,1499,315600.0,2638.0,1300.0
921.01,2014,6734,3376,3358,36.2,1975,1394,0,2328,0,661,683,300000.0,2005.0,1203.0
922.0,2014,3153,1514,1639,41.4,810,1367,4,440,0,466,478,406400.0,2924.0,1298.0
923.0,2014,3376,1766,1610,31.0,198,2877,61,11,0,142,331,305600.0,2543.0,1146.0
924.0,2014,5593,2683,2910,32.0,298,4605,122,57,0,466,1464,314900.0,2127.0,964.0
1001.0,2014,6371,2896,3475,31.2,836,4777,6,113,0,487,1647,279300.0,1908.0,538.0
1002.0,2014,2953,1364,1589,31.8,150,2455,0,56,0,140,336,273800.0,2010.0,1366.0
1003.0,2014,3412,1650,1762,35.1,507,2775,0,11,0,74,555,255200.0,2206.0,1219.0
1004.0,2014,4803,2065,2738,37.6,601,3464,193,247,0,150,414,316100.0,2251.0,1288.0
1005.0,2014,6585,3125,3460,33.4,1190,4345,28,671,0,67,906,343100.0,2412.0,1214.0
1006.01,2014,5406,2583,2823,36.9,2036,1585,19,1493,0,0,447,249600.0,2120.0,1211.0
1006.03,2014,2043,1007,1036,37.7,1499,351,7,162,0,20,70,314900.0,1840.0,1155.0
1007.0,2014,4469,2176,2293,34.1,4156,189,0,67,0,8,102,369000.0,2244.0,1253.0
1008.0,2014,6380,3079,3301,38.4,3352,1889,0,833,0,0,13,300000.0,1947.0,1294.0
708.0,2015,3722,2290,1432,31.7,2658,658,16,364,0,9,424,599500.0,2826.0,1608.0
709.0,2015,3153,1484,1669,31.2,1586,900,0,329,0,203,616,578800.0,2679.0,1308.0
801.0,2015,2814,1880,934,33.4,636,1511,51,53,0,534,716,323300.0,1850.0,1070.0
803.0,2015,2071,962,1109,30.8,272,1184,18,48,0,442,652,212500.0,1289.0,1017.0
805.0,2015,3286,1523,1763,29.1,697,1357,0,67,0,944,1662,388200.0,,644.0
806.01,2015,4540,2256,2284,20.3,2110,1366,3,676,0,271,690,262500.0,1443.0,575.0
813.0,2015,5428,2594,2834,33.0,1020,2258,11,134,0,1615,2321,256900.0,2210.0,507.0
814.0,2015,2861,1542,1319,30.0,996,1349,0,188,0,262,365,323500.0,1730.0,1355.0
815.0,2015,2185,1105,1080,30.9,333,1261,0,66,0,468,673,299500.0,1770.0,1007.0
817.0,2015,3337,1478,1859,40.1,220,2460,11,126,0,250,518,330200.0,1732.0,675.0
818.0,2015,3590,1416,2174,34.5,235,2705,0,0,0,552,1037,347800.0,1769.0,969.0
819.0,2015,3515,1389,2126,30.5,412,2515,0,18,0,360,994,289600.0,,615.0
820.0,2015,2725,1231,1494,40.4,386,2152,0,25,0,129,543,364400.0,2415.0,1005.0
821.0,2015,5243,2448,2795,28.0,441,3378,0,95,0,1127,1656,232400.0,2046.0,505.0
901.0,2015,4812,2074,2738,31.9,374,3493,0,42,0,767,1040,378400.0,2603.0,901.0
902.0,2015,2383,1207,1176,30.4,199,1119,0,110,27,784,892,423200.0,1973.0,792.0
903.0,2015,3631,1177,2454,27.4,293,2381,165,0,0,679,1044,249700.0,,740.0
904.0,2015,3965,1814,2151,27.9,480,2484,0,105,0,769,1311,298900.0,1446.0,930.0
906.0,2015,2337,1062,1275,33.0,266,1457,20,9,0,474,503,315800.0,1772.0,1253.0
907.0,2015,4613,2687,1926,34.4,2429,483,31,815,0,777,731,356300.0,2098.0,1197.0
909.01,2015,3832,1952,1880,25.1,1312,525,58,1201,0,716,940,,,1823.0
910.01,2015,3217,1596,1621,35.0,1834,477,0,818,0,44,79,332400.0,1885.0,1236.0
911.0,2015,5477,2812,2665,31.8,2996,245,0,1506,0,498,388,353000.0,1999.0,1309.0
912.0,2015,3241,1569,1672,32.6,1254,853,74,43,0,703,755,376600.0,2124.0,1132.0
913.0,2015,2596,1307,1289,32.2,602,1060,0,24,0,807,756,295500.0,1693.0,1096.0
914.0,2015,2721,1452,1269,36.1,386,1297,18,27,0,926,893,245800.0,1895.0,966.0
915.0,2015,4801,2265,2536,32.4,583,1916,12,251,0,1746,893,290300.0,,1230.0
